

index_3, Y
1, 1.7545
2, 1.81487
3, 1.88171
4, 1.95499
5, 2.0345
6, 2.11991
7, 2.21076
8, 2.30647
9, 2.40636
10, 2.50968
11, 2.61558
12, 2.72318
13, 2.83156
14, 2.93981
15, 3.047
16, 3.15222
17, 3.25463
18, 3.35342
19, 3.44784
20, 3.53724
21, 3.62104
22, 3.69877
23, 3.77007
24, 3.83466
25, 3.89242
26, 3.94332
27, 3.98745
28, 4.02501
29, 4.05633
30, 4.08179
31, 4.10191
32, 4.11722
33, 4.12834
34, 4.1359
35, 4.14053
36, 4.14288
37, 4.14358
38, 4.14322
39, 4.14239
40, 4.14162
41, 4.14145
42, 4.14239
43, 4.14494
44, 4.14962
45, 4.15695
46, 4.16748
47, 4.18175
48, 4.20034
49, 4.2238
50, 4.2527
51, 4.28754
52, 4.32881
53, 4.37689
54, 4.43208
55, 4.49458
56, 4.56446
57, 4.64165
58, 4.72599
59, 4.81717
60, 4.91476
61, 5.01827


