

index_3, Y
1, 7.98569
2, 8.6876
3, 9.4949
4, 10.2354
5, 10.8131
6, 11.1691
7, 11.2536
8, 11.0677
9, 10.7355
10, 10.4881
11, 10.5063
12, 10.8234
13, 11.4254
14, 12.3071
15, 13.3615
16, 14.3404
17, 14.9718
18, 15.094
19, 14.7365
20, 14.1324
21, 13.5956
22, 13.325
23, 13.4054
24, 13.9752
25, 15.1181
26, 16.5973
27, 17.9516
28, 18.7859
29, 18.9177
30, 18.4023
31, 17.5044
32, 16.596
33, 16.0076
34, 15.9825
35, 16.6987
36, 18.1185
37, 19.8667
38, 21.4223
39, 22.3699
40, 22.5091
41, 21.88
42, 20.7618
43, 19.6106
44, 18.8982
45, 18.9243
46, 19.7436
47, 21.1911
48, 22.9215
49, 24.5008
50, 25.5346
51, 25.7793
52, 25.2252
53, 24.1373
54, 22.9957
55, 22.2878
56, 22.2663
57, 22.9128
58, 24.0868
59, 25.5916
60, 27.1355
61, 28.3532


