

lambda(m), Y
3.9e-06, 0.850421
3.83607e-06, 0.875103
3.77419e-06, 0.898948
3.71429e-06, 0.920841
3.65625e-06, 0.939953
3.6e-06, 0.955832
3.54545e-06, 0.968431
3.49254e-06, 0.978061
3.44118e-06, 0.985257
3.3913e-06, 0.990584
3.34286e-06, 0.994423
3.29577e-06, 0.996811
3.25e-06, 0.99737
3.20548e-06, 0.995375
3.16216e-06, 0.989931
3.12e-06, 0.980228
3.07895e-06, 0.965801
3.03896e-06, 0.946725
3e-06, 0.923699
2.96203e-06, 0.897984
2.925e-06, 0.871244
2.88889e-06, 0.845298
2.85366e-06, 0.82187
2.81928e-06, 0.802382
2.78571e-06, 0.787819
2.75294e-06, 0.778677
2.72093e-06, 0.774996
2.68966e-06, 0.77642
2.65909e-06, 0.782293
2.62921e-06, 0.791747
2.6e-06, 0.803785
2.57143e-06, 0.817363
2.54348e-06, 0.831478
2.51613e-06, 0.845266
2.48936e-06, 0.858095
2.46316e-06, 0.869647
2.4375e-06, 0.879964
2.41237e-06, 0.889419
2.38776e-06, 0.898631
2.36364e-06, 0.908301
2.34e-06, 0.919015
2.31683e-06, 0.931051
2.29412e-06, 0.94423
2.27184e-06, 0.957861
2.25e-06, 0.970793
2.22857e-06, 0.981581
2.20755e-06, 0.988728
2.18692e-06, 0.990966
2.16667e-06, 0.987511
2.14679e-06, 0.978233
2.12727e-06, 0.963718
2.10811e-06, 0.945197
2.08929e-06, 0.924356
2.0708e-06, 0.903074
2.05263e-06, 0.883129
2.03478e-06, 0.865943
2.01724e-06, 0.852402
2e-06, 0.842776
1.98305e-06, 0.836761
1.96639e-06, 0.833611
1.95e-06, 0.832328


