

lambda(m), Y
3.9e-06, 0.953547
3.83607e-06, 0.988462
3.77419e-06, 1.00941
3.71429e-06, 1.00597
3.65625e-06, 0.977691
3.6e-06, 0.937413
3.54545e-06, 0.903866
3.49254e-06, 0.891309
3.44118e-06, 0.905556
3.3913e-06, 0.94164
3.34286e-06, 0.981708
3.29577e-06, 1.00348
3.25e-06, 0.996554
3.20548e-06, 0.966712
3.16216e-06, 0.926121
3.12e-06, 0.888984
3.07895e-06, 0.874228
3.03896e-06, 0.894929
3e-06, 0.939699
2.96203e-06, 0.978296
2.925e-06, 0.990794
2.88889e-06, 0.979195
2.85366e-06, 0.950298
2.81928e-06, 0.90815
2.78571e-06, 0.869732
2.75294e-06, 0.863935
2.72093e-06, 0.898571
2.68966e-06, 0.944953
2.65909e-06, 0.970597
2.62921e-06, 0.97172
2.6e-06, 0.958847
2.57143e-06, 0.931061
2.54348e-06, 0.889336
2.51613e-06, 0.859685
2.48936e-06, 0.870945
2.46316e-06, 0.913551
2.4375e-06, 0.948525
2.41237e-06, 0.956477
2.38776e-06, 0.9503
2.36364e-06, 0.939421
2.34e-06, 0.914992
2.31683e-06, 0.880979
2.29412e-06, 0.867621
2.27184e-06, 0.892334
2.25e-06, 0.929941
2.22857e-06, 0.94542
2.20755e-06, 0.938692
2.18692e-06, 0.931728
2.16667e-06, 0.926888
2.14679e-06, 0.910228
2.12727e-06, 0.889067
2.10811e-06, 0.890575
2.08929e-06, 0.918119
2.0708e-06, 0.940536
2.05263e-06, 0.936632
2.03478e-06, 0.923119
2.01724e-06, 0.92218
2e-06, 0.926398
1.98305e-06, 0.919138
1.96639e-06, 0.909866
1.95e-06, 0.919326


